path,start_frag,start_off,end_frag,end_off,lfh_size,compressed_size,uncompressed_size,compression,archive,sampling,coil_type,modality,dataset_set,subject,matfile,hardware_coils,field_strength,fov_x,fov_y,nx,ny,nz,nt,tr_ms,te_ms,flip_angle
MultiCoil/Cine/TrainingSet/FullSample/P001/cine_lax.mat,0,668,0,246538236,162,246537407,246782850,8,training,full,multi,Cine,TrainingSet,P001,cine_lax.mat,30,2.89362,340,282.321428571,224,168,3,20,43.32,1.53,48
MultiCoil/Cine/TrainingSet/FullSample/P001/cine_sax.mat,0,246538237,0,1486786704,162,1240248306,1241349316,8,training,full,multi,Cine,TrainingSet,P001,cine_sax.mat,30,2.89362,344,279.5,256,204,9,20,47.88,1.5,44
MultiCoil/Cine/TrainingSet/FullSample/P001/cine_lvot.mat,0,1486786705,0,1549573945,163,62787078,62858296,8,training,full,multi,Cine,TrainingSet,P001,cine_lvot.mat,30,2.89362,340,304.038461538,208,168,1,22,39.24,1.43,46
MultiCoil/Cine/TrainingSet/FullSample/P002/cine_lax.mat,0,1549574096,0,1795631870,162,246057613,246303758,8,training,full,multi,Cine,TrainingSet,P002,cine_lax.mat,30,2.89362,340,309.642857143,224,204,3,19,43.8,1.57,47
MultiCoil/Cine/TrainingSet/FullSample/P002/cine_sax.mat,0,1795631871,0,2021571749,162,225939717,226196326,8,training,full,multi,Cine,TrainingSet,P002,cine_sax.mat,30,2.89362,375,375,256,246,11,18,46.76,1.47,43
MultiCoil/Cine/TrainingSet/FullSample/P002/cine_lvot.mat,0,2021571750,0,2084184064,163,62612152,62683450,8,training,full,multi,Cine,TrainingSet,P002,cine_lvot.mat,34,2.89362,340,304.038461538,208,168,1,21,39.24,1.43,46
MultiCoil/Cine/TrainingSet/FullSample/P003/cine_sax.mat,0,2084184215,0,3323900364,162,1239715988,1240819866,8,training,full,multi,Cine,TrainingSet,P003,cine_sax.mat,30,2.89362,344,344,256,246,10,20,47.88,1.5,44
MultiCoil/Cine/TrainingSet/FullSample/P003/cine_lvot.mat,0,3323900365,0,3386654311,163,62753784,62825068,8,training,full,multi,Cine,TrainingSet,P003,cine_lvot.mat,30,2.89362,340,304.038461538,208,168,1,26,39.24,1.43,46
MultiCoil/Cine/TrainingSet/FullSample/P004/cine_lax.mat,0,3386654462,0,3632670079,162,246015456,246260952,8,training,full,multi,Cine,TrainingSet,P004,cine_lax.mat,30,2.89362,340,264.107142857,224,168,3,23,43.56,1.55,48
MultiCoil/Cine/TrainingSet/FullSample/P004/cine_sax.mat,0,3632670080,1,353049092,162,1015346147,1016337724,8,training,full,multi,Cine,TrainingSet,P004,cine_sax.mat,30,2.89362,344,344,256,246,10,21,47.88,1.5,44
MultiCoil/Cine/TrainingSet/FullSample/P004/cine_lvot.mat,1,353049093,1,415731194,163,62681939,62753144,8,training,full,multi,Cine,TrainingSet,P004,cine_lvot.mat,30,2.89362,340,304.038461538,208,168,1,24,39.24,1.43,46
MultiCoil/Cine/TrainingSet/FullSample/P005/cine_lax.mat,1,415731345,1,662339863,162,246608357,246854414,8,training,full,multi,Cine,TrainingSet,P005,cine_lax.mat,30,2.89362,340,309.642857143,224,204,3,17,43.8,1.57,48
MultiCoil/Cine/TrainingSet/FullSample/P005/cine_sax.mat,1,662339864,1,1903517062,162,1241177037,1242278715,8,training,full,multi,Cine,TrainingSet,P005,cine_sax.mat,30,2.89362,344,268.75,256,204,10,16,47.88,1.5,44
MultiCoil/Cine/TrainingSet/FullSample/P005/cine_lvot.mat,1,1903517063,1,1966194071,163,62676846,62748612,8,training,full,multi,Cine,TrainingSet,P005,cine_lvot.mat,30,2.89362,340,304.038461538,208,168,1,20,39.24,1.43,46
MultiCoil/Cine/TrainingSet/FullSample/P006/cine_lax.mat,1,1966194222,1,2168516079,162,202321696,202506312,8,training,full,multi,Cine,TrainingSet,P006,cine_lax.mat,30,2.89362,340,318.75,224,204,3,20,43.8,1.57,48
MultiCoil/Cine/TrainingSet/FullSample/P006/cine_sax.mat,1,2168516080,1,3408386964,162,1239870723,1240975898,8,training,full,multi,Cine,TrainingSet,P006,cine_sax.mat,30,2.89362,344,268.75,256,204,11,19,47.88,1.5,44
MultiCoil/Cine/TrainingSet/FullSample/P006/cine_lvot.mat,1,3408386965,1,3471047690,163,62660563,62731800,8,training,full,multi,Cine,TrainingSet,P006,cine_lvot.mat,30,2.89362,340,304.038461538,208,168,1,26,39.24,1.43,46
MultiCoil/Cine/TrainingSet/FullSample/P007/cine_lax.mat,1,3471047841,1,3717082125,162,246034123,246280191,8,training,full,multi,Cine,TrainingSet,P007,cine_lax.mat,30,2.89362,340,309.642857143,224,204,3,29,43.8,1.57,45
MultiCoil/Cine/TrainingSet/FullSample/P007/cine_sax.mat,1,3717082126,2,661634841,162,1239519850,1240624065,8,training,full,multi,Cine,TrainingSet,P007,cine_sax.mat,30,2.89362,344,290.25,256,204,10,26,47.88,1.5,42
MultiCoil/Cine/TrainingSet/FullSample/P007/cine_lvot.mat,2,661634842,2,724234672,163,62599668,62671191,8,training,full,multi,Cine,TrainingSet,P007,cine_lvot.mat,30,2.89362,340,304.038461538,208,168,1,30,39.24,1.43,46
MultiCoil/Cine/TrainingSet/FullSample/P008/cine_lax.mat,2,724234823,2,970671342,162,246436358,246682624,8,training,full,multi,Cine,TrainingSet,P008,cine_lax.mat,30,2.89362,340,282.321428571,224,168,3,21,43.32,1.53,48
MultiCoil/Cine/TrainingSet/FullSample/P009/cine_lax.mat,2,970671493,2,1172982690,162,202311036,202496264,8,training,full,multi,Cine,TrainingSet,P009,cine_lax.mat,30,2.89362,340,300.535714286,224,204,3,25,43.8,1.57,48
MultiCoil/Cine/TrainingSet/FullSample/P009/cine_sax.mat,2,1172982691,2,2075564482,162,902581630,903420965,8,training,full,multi,Cine,TrainingSet,P009,cine_sax.mat,30,2.89362,344,344,256,246,10,23,47.88,1.5,44
MultiCoil/Cine/TrainingSet/FullSample/P009/cine_lvot.mat,2,2075564483,2,2138168328,163,62603683,62675033,8,training,full,multi,Cine,TrainingSet,P009,cine_lvot.mat,30,2.89362,340,304.038461538,208,168,1,29,39.24,1.43,46
MultiCoil/Cine/TrainingSet/FullSample/P010/cine_lax.mat,2,2138168479,2,2384371464,162,246202824,246448076,8,training,full,multi,Cine,TrainingSet,P010,cine_lax.mat,30,2.89362,340,255,224,168,3,23,43.8,1.57,48
MultiCoil/Cine/TrainingSet/FullSample/P010/cine_sax.mat,2,2384371465,2,3227916616,162,843544990,844374933,8,training,full,multi,Cine,TrainingSet,P010,cine_sax.mat,30,2.89362,344,344,256,246,9,24,47.88,1.5,44
MultiCoil/Cine/TrainingSet/FullSample/P010/cine_lvot.mat,2,3227916617,2,3290537899,163,62621120,62692427,8,training,full,multi,Cine,TrainingSet,P010,cine_lvot.mat,30,2.89362,340,304.038461538,208,168,1,26,39.24,1.43,46
MultiCoil/Cine/TrainingSet/FullSample/P011/cine_lax.mat,2,3290538050,2,3536459760,162,245921549,246167680,8,training,full,multi,Cine,TrainingSet,P011,cine_lax.mat,30,2.89362,340,336.964285714,224,204,3,28,43.56,1.55,43
MultiCoil/Cine/TrainingSet/FullSample/P011/cine_sax.mat,2,3536459761,3,481357720,162,1239865094,1240966977,8,training,full,multi,Cine,TrainingSet,P011,cine_sax.mat,30,2.89362,344,290.25,256,204,14,26,47.88,1.5,40
MultiCoil/Cine/TrainingSet/FullSample/P011/cine_lvot.mat,3,481357721,3,543985971,163,62628088,62699446,8,training,full,multi,Cine,TrainingSet,P011,cine_lvot.mat,30,2.89362,340,304.038461538,208,168,1,31,39.24,1.43,46
MultiCoil/Cine/TrainingSet/FullSample/P012/cine_lax.mat,3,543986122,3,746304613,162,202318330,202503525,8,training,full,multi,Cine,TrainingSet,P012,cine_lax.mat,30,2.89362,340,264.107142857,224,168,3,25,43.56,1.55,48
MultiCoil/Cine/TrainingSet/FullSample/P012/cine_sax.mat,3,746304614,3,1873802475,162,1127497700,1128619842,8,training,full,multi,Cine,TrainingSet,P012,cine_sax.mat,30,2.89362,344,344,256,246,9,26,47.88,1.5,44
MultiCoil/Cine/TrainingSet/FullSample/P012/cine_lvot.mat,3,1873802476,3,1936416394,163,62613756,62685140,8,training,full,multi,Cine,TrainingSet,P012,cine_lvot.mat,30,2.89362,340,304.038461538,208,168,1,26,39.24,1.43,46
MultiCoil/Cine/TrainingSet/FullSample/P013/cine_lax.mat,3,1936416545,3,2182510242,162,246093536,246339712,8,training,full,multi,Cine,TrainingSet,P013,cine_lax.mat,30,2.89362,340,282.321428571,224,168,3,18,43.32,1.53,48
MultiCoil/Cine/TrainingSet/FullSample/P013/cine_sax.mat,3,2182510243,3,3422587234,162,1240076830,1241179829,8,training,full,multi,Cine,TrainingSet,P013,cine_sax.mat,30,2.89362,356,356,256,246,9,17,47.6,1.49,44
MultiCoil/Cine/TrainingSet/FullSample/P013/cine_lvot.mat,3,3422587235,3,3485266392,163,62678995,62750205,8,training,full,multi,Cine,TrainingSet,P013,cine_lvot.mat,30,2.89362,340,304.038461538,208,168,1,19,39.24,1.43,46
MultiCoil/Cine/TrainingSet/FullSample/P014/cine_lax.mat,3,3485266543,3,3687593378,162,202326674,202511749,8,training,full,multi,Cine,TrainingSet,P014,cine_lax.mat,30,2.89362,340,309.642857143,224,204,3,21,43.8,1.57,47
MultiCoil/Cine/TrainingSet/FullSample/P014/cine_sax.mat,3,3687593379,4,407639367,162,1015013123,1016005416,8,training,full,multi,Cine,TrainingSet,P014,cine_sax.mat,30,2.89362,344,333.25,256,246,10,20,47.88,1.5,43
MultiCoil/Cine/TrainingSet/FullSample/P014/cine_lvot.mat,4,407639368,4,470246827,163,62607297,62678610,8,training,full,multi,Cine,TrainingSet,P014,cine_lvot.mat,30,2.89362,340,304.038461538,208,168,1,24,39.24,1.43,46
MultiCoil/Cine/TrainingSet/FullSample/P015/cine_lax.mat,4,470246978,4,716851623,162,246604484,246850628,8,training,full,multi,Cine,TrainingSet,P015,cine_lax.mat,30,2.89362,340,300.535714286,224,204,3,25,43.8,1.57,47
MultiCoil/Cine/TrainingSet/FullSample/P015/cine_sax.mat,4,716851624,4,1957544368,162,1240692583,1241794069,8,training,full,multi,Cine,TrainingSet,P015,cine_sax.mat,30,2.89362,344,311.75,256,204,9,23,47.88,1.5,44
MultiCoil/Cine/TrainingSet/FullSample/P015/cine_lvot.mat,4,1957544369,4,2020130738,163,62586207,62657667,8,training,full,multi,Cine,TrainingSet,P015,cine_lvot.mat,30,2.89362,340,304.038461538,208,168,1,26,39.24,1.43,46
MultiCoil/Cine/TrainingSet/FullSample/P016/cine_lax.mat,4,2020130889,4,2222476757,162,202345707,202530569,8,training,full,multi,Cine,TrainingSet,P016,cine_lax.mat,30,2.89362,340,300.535714286,224,204,3,26,43.8,1.57,48
MultiCoil/Cine/TrainingSet/FullSample/P016/cine_sax.mat,4,2222476758,4,2891184325,162,668707406,669375905,8,training,full,multi,Cine,TrainingSet,P016,cine_sax.mat,30,2.89362,344,344,256,246,11,24,47.88,1.5,44
MultiCoil/Cine/TrainingSet/FullSample/P016/cine_lvot.mat,4,2891184326,4,2953762229,163,62577741,62649240,8,training,full,multi,Cine,TrainingSet,P016,cine_lvot.mat,30,2.89362,340,304.038461538,208,168,1,28,39.24,1.43,46
MultiCoil/Cine/TrainingSet/FullSample/P017/cine_lax.mat,4,2953762380,4,3199869415,162,246106874,246352638,8,training,full,multi,Cine,TrainingSet,P017,cine_lax.mat,30,2.89362,340,300.535714286,224,204,3,26,43.8,1.57,47
MultiCoil/Cine/TrainingSet/FullSample/P017/cine_sax.mat,4,3199869416,5,145220481,162,1240318200,1241420295,8,training,full,multi,Cine,TrainingSet,P017,cine_sax.mat,30,2.89362,344,344,256,246,11,24,47.88,1.5,44
MultiCoil/Cine/TrainingSet/FullSample/P017/cine_lvot.mat,5,145220482,5,207855390,163,62634746,62706112,8,training,full,multi,Cine,TrainingSet,P017,cine_lvot.mat,30,2.89362,340,304.038461538,208,168,1,28,39.24,1.43,46
MultiCoil/Cine/TrainingSet/FullSample/P018/cine_lax.mat,5,207855541,5,410320002,162,202464300,202649529,8,training,full,multi,Cine,TrainingSet,P018,cine_lax.mat,30,2.89362,340,300.535714286,224,204,3,23,43.8,1.57,48
MultiCoil/Cine/TrainingSet/FullSample/P018/cine_sax.mat,5,410320003,5,1425478471,162,1015158307,1016153139,8,training,full,multi,Cine,TrainingSet,P018,cine_sax.mat,30,2.89362,344,344,256,246,10,22,47.88,1.5,44
MultiCoil/Cine/TrainingSet/FullSample/P018/cine_lvot.mat,5,1425478472,5,1488199338,163,62720704,62792029,8,training,full,multi,Cine,TrainingSet,P018,cine_lvot.mat,30,2.89362,340,304.038461538,208,168,1,25,39.24,1.43,46
