path,start_off,end_off,lfh_size,compressed_size,uncompressed_size,compression,archive,study,contrast,repetition,set
multicoil_train/2022061001_FLAIR01.h5,46,12455849,67,12455737,12455737,0,M4RawV1.5_multicoil_train.zip,2022061001,FLAIR,01,multicoil_train
multicoil_train/2022061001_FLAIR02.h5,12455850,24905506,67,12449590,12449590,0,M4RawV1.5_multicoil_train.zip,2022061001,FLAIR,02,multicoil_train
multicoil_train/2022061001_T101.h5,24905507,37349110,64,12443540,12443540,0,M4RawV1.5_multicoil_train.zip,2022061001,T1,01,multicoil_train
multicoil_train/2022061001_T102.h5,37349111,49776617,64,12427443,12427443,0,M4RawV1.5_multicoil_train.zip,2022061001,T1,02,multicoil_train
multicoil_train/2022061001_T103.h5,49776618,62198394,64,12421713,12421713,0,M4RawV1.5_multicoil_train.zip,2022061001,T1,03,multicoil_train
multicoil_train/2022061001_T201.h5,62198395,74413464,64,12215006,12215006,0,M4RawV1.5_multicoil_train.zip,2022061001,T2,01,multicoil_train
multicoil_train/2022061001_T202.h5,74413465,86622347,64,12208819,12208819,0,M4RawV1.5_multicoil_train.zip,2022061001,T2,02,multicoil_train
multicoil_train/2022061001_T203.h5,86622348,98824764,64,12202353,12202353,0,M4RawV1.5_multicoil_train.zip,2022061001,T2,03,multicoil_train
multicoil_train/2022061002_FLAIR01.h5,98824765,111279947,67,12455116,12455116,0,M4RawV1.5_multicoil_train.zip,2022061002,FLAIR,01,multicoil_train
multicoil_train/2022061002_FLAIR02.h5,111279948,123731934,67,12451920,12451920,0,M4RawV1.5_multicoil_train.zip,2022061002,FLAIR,02,multicoil_train
multicoil_train/2022061002_T101.h5,123731935,136171434,64,12439436,12439436,0,M4RawV1.5_multicoil_train.zip,2022061002,T1,01,multicoil_train
multicoil_train/2022061002_T102.h5,136171435,148606314,64,12434816,12434816,0,M4RawV1.5_multicoil_train.zip,2022061002,T1,02,multicoil_train
multicoil_train/2022061002_T103.h5,148606315,161037186,64,12430808,12430808,0,M4RawV1.5_multicoil_train.zip,2022061002,T1,03,multicoil_train
multicoil_train/2022061002_T201.h5,161037187,173291456,64,12254206,12254206,0,M4RawV1.5_multicoil_train.zip,2022061002,T2,01,multicoil_train
multicoil_train/2022061002_T202.h5,173291457,185549134,64,12257614,12257614,0,M4RawV1.5_multicoil_train.zip,2022061002,T2,02,multicoil_train
multicoil_train/2022061002_T203.h5,185549135,197808605,64,12259407,12259407,0,M4RawV1.5_multicoil_train.zip,2022061002,T2,03,multicoil_train
multicoil_train/2022061003_FLAIR01.h5,197808606,210363342,67,12554670,12554670,0,M4RawV1.5_multicoil_train.zip,2022061003,FLAIR,01,multicoil_train
multicoil_train/2022061003_FLAIR02.h5,210363343,222911553,67,12548144,12548144,0,M4RawV1.5_multicoil_train.zip,2022061003,FLAIR,02,multicoil_train
multicoil_train/2022061003_T101.h5,222911554,235512544,64,12600927,12600927,0,M4RawV1.5_multicoil_train.zip,2022061003,T1,01,multicoil_train
multicoil_train/2022061003_T102.h5,235512545,248110467,64,12597859,12597859,0,M4RawV1.5_multicoil_train.zip,2022061003,T1,02,multicoil_train
multicoil_train/2022061003_T103.h5,248110468,260709184,64,12598653,12598653,0,M4RawV1.5_multicoil_train.zip,2022061003,T1,03,multicoil_train
multicoil_train/2022061003_T201.h5,260709185,272952530,64,12243282,12243282,0,M4RawV1.5_multicoil_train.zip,2022061003,T2,01,multicoil_train
multicoil_train/2022061003_T202.h5,272952531,285193864,64,12241270,12241270,0,M4RawV1.5_multicoil_train.zip,2022061003,T2,02,multicoil_train
multicoil_train/2022061003_T203.h5,285193865,297431558,64,12237630,12237630,0,M4RawV1.5_multicoil_train.zip,2022061003,T2,03,multicoil_train
multicoil_train/2022061004_FLAIR01.h5,297431559,309946637,67,12515012,12515012,0,M4RawV1.5_multicoil_train.zip,2022061004,FLAIR,01,multicoil_train
multicoil_train/2022061004_FLAIR02.h5,309946638,322459880,67,12513176,12513176,0,M4RawV1.5_multicoil_train.zip,2022061004,FLAIR,02,multicoil_train
multicoil_train/2022061004_T101.h5,322459881,335013712,64,12553768,12553768,0,M4RawV1.5_multicoil_train.zip,2022061004,T1,01,multicoil_train
multicoil_train/2022061004_T102.h5,335013713,347563134,64,12549358,12549358,0,M4RawV1.5_multicoil_train.zip,2022061004,T1,02,multicoil_train
multicoil_train/2022061004_T103.h5,347563135,360107542,64,12544344,12544344,0,M4RawV1.5_multicoil_train.zip,2022061004,T1,03,multicoil_train
multicoil_train/2022061004_T201.h5,360107543,372344660,64,12237054,12237054,0,M4RawV1.5_multicoil_train.zip,2022061004,T2,01,multicoil_train
